OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_S000330375	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000364661	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000364662	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000364663	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000398525	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000407935	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000407936	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000407937	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000407938	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000437185	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000437289	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000487808	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000487809	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000487810	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000487811	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000487812	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000500412	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000649633	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000979720	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000979725	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000979726	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S001044318	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
